Start Date-Time,Type,Organization Event: Event Name,Confirmed Registrants,Confirmed Including Guests,Cancelled,Attended
01/02/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
01/03/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,1,3,0,1
01/04/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,2,5,1,2
01/07/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,2,3,0,2
01/08/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,1,0
01/09/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,1,0
01/10/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
01/11/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,1,5,1,1
01/14/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
01/15/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
01/16/2019 9:00,Undergraduate,Nursing Simulation Lab Tour,7,12,1,6
01/16/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
01/17/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,2,4,0,0
01/18/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,1,3,2,1
01/19/2019 9:00,Undergraduate,TOUR test event,0,0,0,0
01/22/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,0,0,0,0
01/23/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
01/24/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,1,4,0,1
01/25/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,12,38,2,4
01/28/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,3,11,0,2
01/29/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,1,3,1,1
01/30/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
01/31/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,4,7,0,3
02/01/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,8,24,0,7
02/04/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,1,2,1,1
02/04/2019 13:00,Undergraduate,Portland Campus Tour,1,3,0,1
02/05/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,1,3,0,0
02/06/2019 9:00,Undergraduate,Nursing Simulation Lab Tour,4,9,2,4
02/06/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,0,0
02/07/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,2,6,0,1
02/08/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,3,7,0,3
02/11/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,1,0
02/11/2019 13:00,Undergraduate,Portland Campus Tour,1,2,0,0
02/12/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,2,4,0,1
02/13/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,0,0,1,0
02/14/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,1,2,0,1
02/15/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,20,61,7,16
02/16/2019 10:00,Undergraduate,Gorham Campus Tour and Information Session,17,48,5,14
02/19/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,11,37,1,11
02/20/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,16,45,4,11
02/21/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,12,35,7,11
02/21/2019 11:30,Undergraduate,Biology and Chemistry Labs Tour,0,0,1,0
02/22/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,25,77,5,22
02/23/2019 10:00,Undergraduate,Gorham Campus Tour and Information Session,3,11,1,13
02/25/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,7,21,1,7
02/25/2019 13:00,Undergraduate,Portland Campus Tour,6,19,0,5
02/26/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,3,12,0,3
02/27/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,2,5,0,2
02/28/2019 9:30,Undergraduate,Portland Campus Tour and Information Session,5,13,1,2
03/01/2019 9:30,Undergraduate,Portland and Gorham Campus Tours and Information Session,7,23,3,6
03/04/2019 9:30,Undergraduate,Gorham Campus Tour and Information Session,5,15,0,0
03/04/2019 13:00,Undergraduate,Portland Campus Tour,3,11,0,0
