Quarter,AdSet,Ad,Vendor,Impressions,CTR,UPV,BR,Av_TOP,Cost,Start_Date,End_Date
FY19Q1,FA19_DC_WA_FB_DISP,WA_FB_DISP,FB_DISP,273260,0.0044,953,0.9337, 00:01:45.0,580.93,Aug-18,Aug-19
FY19Q1,FA19_DC_WA_FB_VID,WA_FB_VID,FB_VID,18629,0.0133,161,0.913, 00:00:35.0,156.02,Sep-18,Jul-19
FY19Q1,FA19_DC_WA_GM_TEXT,WA_GM_TEXT,GM_TEXT,7251,0.0982,75,0.7429, 00:01:25.0,314.01,Aug-18,Aug-19
FY19Q1,FA19_DC_WA_IG_DISP,WA_IG_DISP,IG_DISP,7586,0.003,13,0.6923, 00:00:05.0,104.69,Aug-18,Jul-19
FY19Q1,FA19_DC_WA_IG_VID,WA_IG_VID,IG_VID,16974,0.0066,24,0.9048, 00:00:45.0,257.1,Sep-18,Jul-19
FY19Q1,FA19_DC_WA_PIN_DISP,WA_PIN_DISP,PIN_DISP,41355,0.0038,73,0.9437, 00:00:40.0,178.87,Sep-18,Dec-19
FY19Q1,FA19_GR_CU_FB_DISP,CU_FB_DISP,FB_DISP,395166,0.0022,550,0.9319, 00:02:35.0,732.53,Aug-18,May-19
FY19Q1,FA19_GR_CU_FB_VID,CU_FB_VID,FB_VID,49224,0.0048,78,0.9872, 00:00:00.0,267.47,Sep-18,Jul-19
FY19Q1,FA19_GR_CU_IG_DISP,CU_IG_DISP,IG_DISP,40242,0.0022,27,0.7391, 00:00:15.0,377.06,Aug-18,Apr-19
FY19Q1,FA19_GR_CU_IG_VID,CU_IG_VID,IG_VID,33517,0.0026,15,0.8571, 00:01:00.0,372.94,Sep-18,Apr-19
FY19Q1,FA19_GR_WA_FB_DISP,WA_FB_DISP,FB_DISP,408927,0.0038,1109,0.9189, 00:01:50.0,735.97,Aug-18,Dec-19
FY19Q1,FA19_GR_WA_FB_VID,WA_FB_VID,FB_VID,33979,0.0145,341,0.8277, 00:00:40.0,264.03,Sep-18,Jun-20
FY19Q1,FA19_GR_WA_IG_DISP,WA_IG_DISP,IG_DISP,11870,0.0051,18,0.8125, 00:00:45.0,158.61,Aug-18,Apr-19
FY19Q1,FA19_GR_WA_IG_VID,WA_IG_VID,IG_VID,23667,0.0069,22,1,NA,341.39,Sep-18,Apr-19
FY19Q1,FA19_MPH_ALL_LI_TEXT,ALL_LI_TEXT,LI_TEXT,9018,0.0092,0,NaN%,NA,458.75,Jul-18,Sep-18
FY19Q1,FA19_POL_ALL_LI_TEXT,ALL_LI_TEXT,LI_TEXT,10751,0.0076,0,NaN%,NA,443.38,Jul-18,Sep-18
FY19Q1,FA19_TR_CU_FB_DISP,CU_FB_DISP,FB_DISP,1327800,0.0035,3449,0.5648, 00:00:25.0,2465.84,Aug-18,Aug-19
FY19Q1,FA19_TR_CU_FB_VID,CU_FB_VID,FB_VID,101776,0.0064,213,0.6796, 00:00:10.0,534.16,Aug-18,Jul-19
FY19Q1,FA19_TR_CU_IG_DISP,CU_IG_DISP,IG_DISP,72537,0.0046,56,0.5714, 00:00:05.0,643.2,Aug-18,Jul-19
FY19Q1,FA19_TR_CU_IG_VID,CU_IG_VID,IG_VID,165728,0.0035,107,0.8824, 00:00:15.0,1356.8,Aug-18,Jul-19
FY19Q1,FA19_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,687379,0.0041,1222,0.5338, 00:00:15.0,1510.27,Aug-18,May-19
FY19Q1,FA19_UG_HS_FB_VID,HS_FB_VID,FB_VID,82996,0.0056,97,0.5833, 00:00:10.0,469.01,Aug-18,Jan-19
FY19Q1,FA19_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,52094,0.003,34,0.7941, 00:00:00.0,355.86,Aug-18,Feb-19
FY19Q1,FA19_UG_HS_IG_VID,HS_IG_VID,IG_VID,100178,0.0027,45,0.75, 00:00:25.0,707.38,Aug-18,Jun-19
FY19Q1,FA19_UG_HS_PIN_DISP,HS_PIN_DISP,PIN_DISP,6195,0.0053,13,0.8462, 00:11:30.0,6.33,Sep-18,Jan-19
FY19Q1,FA19_UG_HS_SC_VID,HS_SC_VID,SC_VID,8706,0.0091,87,0.9412, 00:00:50.0,13.82,Aug-18,May-20
FY19Q1,FA19_UG_IN_PIN_DISP,IN_PIN_DISP,PIN_DISP,4074,0.0049,13,0.8462, 00:00:10.0,3.93,Sep-18,Jan-20
FY19Q1,FA19_UG_TL_DBM_DISP,TL_DBM_DISP,DBM_DISP,664689,0.0007,393,0.8874, 00:01:30.0,3459.31,Sep-18,Ongoing
FY19Q1,FA19_UG_TL_FB_DISP,TL_FB_DISP,FB_DISP,591066,0.0054,1805,0.9245, 00:02:40.0,941.59,Aug-18,Dec-19
FY19Q1,FA19_UG_TL_FB_VID,TL_FB_VID,FB_VID,34660,0.0108,232,0.9174, 00:04:45.0,208.41,Sep-18,Nov-18
FY19Q1,FA19_UG_TL_IG_DISP,TL_IG_DISP,IG_DISP,146378,0.0025,69,0.7833, 00:00:30.0,667.59,Aug-18,Nov-18
FY19Q1,FA19_UG_TL_IG_VID,TL_IG_VID,IG_VID,153263,0.0024,54,0.9423, 00:00:30.0,682.41,Sep-18,Nov-18
FY19Q1,FA19_UG_TL_SC_VID,TL_SC_VID,SC_VID,81469,0.016,513,0.9783, 00:01:45.0,132.71,Sep-18,May-20
FY19Q1,FA19_UNI_ALL_BDN_DISP,ALL_BDN_DISP,BDN_DISP,85062,0.0007,34,0.9091, 00:03:50.0,658.13,Aug-18,Oct-19
FY19Q1,FA19_UNI_ALL_BDN_VID,ALL_BDN_VID,BDN_VID,975,0.0513,24,0.75, 00:00:15.0,32.4,Aug-18,Mar-19
FY19Q1,FA19_UNI_ALL_DBM_AUD,ALL_DBM_AUD,DBM_AUD,29,0,0,NaN%,NA,0.55,Sep-18,Jan-19
FY19Q1,FA19_UNI_ALL_DBM_DISP,ALL_DBM_DISP,DBM_DISP,803904,0.0006,638,0.7029, 00:00:40.0,4328.44,Aug-18,Jun-20
FY19Q1,FA19_UNI_ALL_DBM_VID,ALL_DBM_VID,DBM_VID,67864,0.0022,55,0.8909, 00:00:15.0,954.58,Aug-18,Jul-19
FY19Q1,FA19_UNI_ALL_HU_VID,ALL_HU_VID,HU_VID,552358,0.0004,120,0.5966, 00:00:10.0,19251.3,Aug-18,Apr-19
FY19Q1,FA19_UNI_ALL_PPH_DISP,ALL_PPH_DISP,PPH_DISP,62501,0.0008,38,0.9737, 00:00:00.0,625.01,Aug-18,Jul-19
FY19Q1,FA19_UNI_ALL_SJ_DISP,ALL_SJ_DISP,SJ_DISP,86506,0.0015,80,0.9211, 00:01:05.0,684.08,Aug-18,Ongoing
FY19Q1,FA19_UNI_ALL_SPO_AUD,ALL_SPO_AUD,SPO_AUD,69,0.1594,38,0.7083, 00:01:05.0,0,Aug-18,Jan-19
FY19Q1,FA19_UNI_ALL_YT_VID,ALL_YT_VID,YT_VID,47559,0.0013,45,0.5227, 00:00:55.0,1228.82,Aug-18,Jul-19
FY19Q1,FA19_UNI_CU_YT_VID,CU_YT_VID,YT_VID,76,0,1,1,NA,2.99,Aug-18,Jul-19
FY19Q1,FA19_UNI_HS_YT_VID,HS_YT_VID,YT_VID,60,0,3,0.6667, 00:00:00.0,1.18,Aug-18,Jul-19
FY19Q1,FA19_UNI_WA_YT_VID,WA_YT_VID,YT_VID,3,0,1,1,NA,0.01,Aug-18,Jun-19
FY19Q1,SP19_GR_WA_FB_DISP,WA_FB_DISP,FB_DISP,89283,0.0062,319,0.9082, 00:02:00.0,205.04,Sep-18,Mar-19
FY19Q2,FA19_DC_WA_FB_DISP,WA_FB_DISP,FB_DISP,275915,0.006,1133,0.9041, 00:02:40.0,833.47,Aug-18,Aug-19
FY19Q2,FA19_DC_WA_FB_VID,WA_FB_VID,FB_VID,100839,0.0122,627,0.886, 00:02:00.0,881.71,Sep-18,Jul-19
FY19Q2,FA19_DC_WA_GM_TEXT,WA_GM_TEXT,GM_TEXT,12609,0.1065,159,0.623, 00:01:10.0,581.84,Aug-18,Aug-19
FY19Q2,FA19_DC_WA_IG_DISP,WA_IG_DISP,IG_DISP,15859,0.006,18,1,NA,198.58,Aug-18,Jul-19
FY19Q2,FA19_DC_WA_IG_VID,WA_IG_VID,IG_VID,48351,0.0075,63,0.918, 00:03:05.0,650.89,Sep-18,Jul-19
FY19Q2,FA19_DC_WA_PIN_DISP,WA_PIN_DISP,PIN_DISP,203909,0.0037,277,0.9224, 00:01:25.0,1166.56,Sep-18,Dec-19
FY19Q2,FA19_IC_WA_FB_DISP,WA_FB_DISP,FB_DISP,236248,0.0102,1381,0.8895, 00:01:15.0,1975.52,Nov-18,Apr-19
FY19Q2,FA19_IC_WA_IG_DISP,WA_IG_DISP,IG_DISP,42287,0.0068,119,0.9744, 00:03:10.0,632.36,Nov-18,Jan-19
FY19Q2,FA19_ST_WA_FB_DISP,WA_FB_DISP,FB_DISP,164118,0.0078,1059,0.9244, 00:01:50.0,700.23,Oct-18,Mar-20
FY19Q2,FA19_TR_CU_FB_DISP,CU_FB_DISP,FB_DISP,228025,0.0058,591,0.933, 00:02:15.0,1402.2,Aug-18,Aug-19
FY19Q2,FA19_TR_CU_FB_VID,CU_FB_VID,FB_VID,97645,0.006,157,0.9226, 00:01:55.0,620.95,Aug-18,Jul-19
FY19Q2,FA19_TR_CU_GM_TEXT,CU_GM_TEXT,GM_TEXT,18886,0.0767,62,0.6129, 00:00:55.0,942.81,Oct-18,Aug-19
FY19Q2,FA19_TR_CU_IG_DISP,CU_IG_DISP,IG_DISP,32359,0.0029,33,0.9583, 00:00:35.0,169.21,Aug-18,Jul-19
FY19Q2,FA19_TR_CU_IG_VID,CU_IG_VID,IG_VID,102026,0.0035,78,0.9872, 00:00:05.0,904.21,Aug-18,Jul-19
FY19Q2,FA19_TR_CU_SC_VID,CU_SC_VID,SC_VID,341157,0.0121,0,NaN%,NA,999.98,Oct-18,May-20
FY19Q2,FA19_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,315792,0.0034,432,0.9336, 00:02:45.0,720.96,Aug-18,May-19
FY19Q2,FA19_UG_HS_FB_VID,HS_FB_VID,FB_VID,65498,0.0056,88,0.9091, 00:00:10.0,299.76,Aug-18,Jan-19
FY19Q2,FA19_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,43043,0.0022,13,1,NA,195.41,Aug-18,Feb-19
FY19Q2,FA19_UG_HS_IG_VID,HS_IG_VID,IG_VID,154802,0.002,45,0.8421, 00:00:35.0,619.58,Aug-18,Jun-19
FY19Q2,FA19_UG_HS_PIN_DISP,HS_PIN_DISP,PIN_DISP,241825,0.0025,101,0.9286, 00:04:05.0,1060.63,Sep-18,Jan-19
FY19Q2,FA19_UG_HS_SC_VID,HS_SC_VID,SC_VID,131235,0.0091,196,0.9792, 00:00:40.0,212.83,Aug-18,May-20
FY19Q2,FA19_UG_IN_PIN_DISP,IN_PIN_DISP,PIN_DISP,208289,0.003,229,0.8534, 00:01:15.0,1059.65,Sep-18,Jan-20
FY19Q2,FA19_UG_TL_DBM_DISP,TL_DBM_DISP,DBM_DISP,1117597,0.0017,882,0.9459, 00:03:10.0,6540.57,Sep-18,Ongoing
FY19Q2,FA19_UG_TL_FB_DISP,TL_FB_DISP,FB_DISP,408329,0.0068,1385,0.9325, 00:01:50.0,970.6,Aug-18,Dec-19
FY19Q2,FA19_UG_TL_FB_VID,TL_FB_VID,FB_VID,35106,0.0075,163,0.8831, 00:01:40.0,179.4,Sep-18,Nov-18
FY19Q2,FA19_UG_TL_IG_DISP,TL_IG_DISP,IG_DISP,178927,0.0016,81,0.9747, 00:00:35.0,684.11,Aug-18,Nov-18
FY19Q2,FA19_UG_TL_IG_VID,TL_IG_VID,IG_VID,207488,0.0016,101,0.9688, 00:00:15.0,665.7,Sep-18,Nov-18
FY19Q2,FA19_UG_TL_SC_VID,TL_SC_VID,SC_VID,644348,0.0123,1266,0.9752, 00:00:35.0,1064.56,Sep-18,May-20
FY19Q2,FA19_UNI_ALL_BDN_DISP,ALL_BDN_DISP,BDN_DISP,230315,0.001,165,0.9565, 00:02:00.0,2072.34,Aug-18,Oct-19
FY19Q2,FA19_UNI_ALL_BDN_VID,ALL_BDN_VID,BDN_VID,40169,0.0506,1306,0.9129, 00:01:20.0,1409.52,Aug-18,Mar-19
FY19Q2,FA19_UNI_ALL_DBM_AUD,ALL_DBM_AUD,DBM_AUD,1035350,0,13,0.8333, 00:00:15.0,24654.62,Sep-18,Jan-19
FY19Q2,FA19_UNI_ALL_DBM_DISP,ALL_DBM_DISP,DBM_DISP,2178079,0.0006,1305,0.957, 00:01:50.0,9666.22,Aug-18,Jun-20
FY19Q2,FA19_UNI_ALL_DBM_VID,ALL_DBM_VID,DBM_VID,187156,0.0023,217,0.8579, 00:01:25.0,3156.21,Aug-18,Jul-19
FY19Q2,FA19_UNI_ALL_HU_VID,ALL_HU_VID,HU_VID,950083,0.0006,381,0.897, 00:01:50.0,33124.02,Aug-18,Apr-19
FY19Q2,FA19_UNI_ALL_PPH_DISP,ALL_PPH_DISP,PPH_DISP,187512,0.0017,205,0.9502, 00:01:05.0,1875.12,Aug-18,Jul-19
FY19Q2,FA19_UNI_ALL_SJ_DISP,ALL_SJ_DISP,SJ_DISP,255086,0.0024,423,0.9259, 00:01:35.0,2168.27,Aug-18,Ongoing
