"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q1","FA19_DC_WA_FB_DISP","WA_FB_DISP","FB_DISP","273,260","0.44%","953","93.37%", 00:01:45.0,"$ 580.93","08-2018","08-2019"
"FY19Q1","FA19_DC_WA_FB_VID","WA_FB_VID","FB_VID","18,629","1.33%","161","91.3%", 00:00:35.0,"$ 156.02","09-2018","07-2019"
"FY19Q1","FA19_DC_WA_GM_TEXT","WA_GM_TEXT","GM_TEXT","7,251","9.82%","75","74.29%", 00:01:25.0,"$ 314.01","08-2018","08-2019"
"FY19Q1","FA19_DC_WA_IG_DISP","WA_IG_DISP","IG_DISP","7,586","0.3%","13","69.23%", 00:00:05.0,"$ 104.69","08-2018","07-2019"
"FY19Q1","FA19_DC_WA_IG_VID","WA_IG_VID","IG_VID","16,974","0.66%","24","90.48%", 00:00:45.0,"$ 257.1","09-2018","07-2019"
"FY19Q1","FA19_DC_WA_PIN_DISP","WA_PIN_DISP","PIN_DISP","41,355","0.38%","73","94.37%", 00:00:40.0,"$ 178.87","09-2018","12-2019"
"FY19Q1","FA19_GR_CU_FB_DISP","CU_FB_DISP","FB_DISP","395,166","0.22%","550","93.19%", 00:02:35.0,"$ 732.53","08-2018","05-2019"
"FY19Q1","FA19_GR_CU_FB_VID","CU_FB_VID","FB_VID","49,224","0.48%","78","98.72%", 00:00:00.0,"$ 267.47","09-2018","07-2019"
"FY19Q1","FA19_GR_CU_IG_DISP","CU_IG_DISP","IG_DISP","40,242","0.22%","25","71.43%", 00:00:15.0,"$ 377.06","08-2018","04-2019"
"FY19Q1","FA19_GR_CU_IG_VID","CU_IG_VID","IG_VID","33,517","0.26%","15","85.71%", 00:01:00.0,"$ 372.94","09-2018","04-2019"
"FY19Q1","FA19_GR_WA_FB_DISP","WA_FB_DISP","FB_DISP","408,927","0.38%","1,109","91.89%", 00:01:50.0,"$ 735.97","08-2018","12-2019"
"FY19Q1","FA19_GR_WA_FB_VID","WA_FB_VID","FB_VID","33,979","1.45%","341","82.77%", 00:00:40.0,"$ 264.03","09-2018","06-2020"
"FY19Q1","FA19_GR_WA_IG_DISP","WA_IG_DISP","IG_DISP","11,870","0.51%","18","81.25%", 00:00:45.0,"$ 158.61","08-2018","04-2019"
"FY19Q1","FA19_GR_WA_IG_VID","WA_IG_VID","IG_VID","23,667","0.69%","22","100%",NA,"$ 341.39","09-2018","04-2019"
"FY19Q1","FA19_MPH_ALL_LI_TEXT","ALL_LI_TEXT","LI_TEXT","9,018","0.92%","0","NaN%",NA,"$ 458.75","07-2018","09-2018"
"FY19Q1","FA19_POL_ALL_LI_TEXT","ALL_LI_TEXT","LI_TEXT","10,751","0.76%","0","NaN%",NA,"$ 443.38","07-2018","09-2018"
"FY19Q1","FA19_TR_CU_FB_DISP","CU_FB_DISP","FB_DISP","1,327,800","0.35%","3,449","56.48%", 00:00:25.0,"$ 2465.84","08-2018","08-2019"
"FY19Q1","FA19_TR_CU_FB_VID","CU_FB_VID","FB_VID","101,776","0.64%","213","67.96%", 00:00:10.0,"$ 534.16","08-2018","07-2019"
"FY19Q1","FA19_TR_CU_IG_DISP","CU_IG_DISP","IG_DISP","72,537","0.46%","56","57.14%", 00:00:05.0,"$ 643.2","08-2018","07-2019"
"FY19Q1","FA19_TR_CU_IG_VID","CU_IG_VID","IG_VID","165,728","0.35%","107","88.24%", 00:00:15.0,"$ 1356.8","08-2018","07-2019"
"FY19Q1","FA19_UG_HS_FB_DISP","HS_FB_DISP","FB_DISP","687,379","0.41%","1,222","53.38%", 00:00:15.0,"$ 1510.27","08-2018","05-2019"
"FY19Q1","FA19_UG_HS_FB_VID","HS_FB_VID","FB_VID","82,996","0.56%","97","58.33%", 00:00:10.0,"$ 469.01","08-2018","01-2019"
"FY19Q1","FA19_UG_HS_IG_DISP","HS_IG_DISP","IG_DISP","52,094","0.3%","34","79.41%", 00:00:00.0,"$ 355.86","08-2018","02-2019"
"FY19Q1","FA19_UG_HS_IG_VID","HS_IG_VID","IG_VID","100,178","0.27%","45","75%", 00:00:25.0,"$ 707.38","08-2018","06-2019"
"FY19Q1","FA19_UG_HS_PIN_DISP","HS_PIN_DISP","PIN_DISP","6,195","0.53%","13","84.62%", 00:11:30.0,"$ 6.33","09-2018","01-2019"
"FY19Q1","FA19_UG_HS_SC_VID","HS_SC_VID","SC_VID","8,706","0.91%","87","94.12%", 00:00:50.0,"$ 13.82","08-2018","05-2020"
"FY19Q1","FA19_UG_IN_PIN_DISP","IN_PIN_DISP","PIN_DISP","4,074","0.49%","13","84.62%", 00:00:10.0,"$ 3.93","09-2018","01-2020"
"FY19Q1","FA19_UG_TL_DBM_DISP","TL_DBM_DISP","DBM_DISP","664,689","0.07%","393","88.74%", 00:01:30.0,"$ 3459.31","09-2018","06-2020"
"FY19Q1","FA19_UG_TL_FB_DISP","TL_FB_DISP","FB_DISP","591,066","0.54%","1,805","92.45%", 00:02:40.0,"$ 941.59","08-2018","12-2019"
"FY19Q1","FA19_UG_TL_FB_VID","TL_FB_VID","FB_VID","34,660","1.08%","232","91.74%", 00:04:45.0,"$ 208.41","09-2018","11-2018"
"FY19Q1","FA19_UG_TL_IG_DISP","TL_IG_DISP","IG_DISP","146,378","0.25%","69","78.33%", 00:00:30.0,"$ 667.59","08-2018","11-2018"
"FY19Q1","FA19_UG_TL_IG_VID","TL_IG_VID","IG_VID","153,263","0.24%","54","94.23%", 00:00:30.0,"$ 682.41","09-2018","11-2018"
"FY19Q1","FA19_UG_TL_SC_VID","TL_SC_VID","SC_VID","81,469","1.6%","513","97.83%", 00:01:45.0,"$ 132.71","09-2018","05-2020"
"FY19Q1","FA19_UNI_ALL_BDN_DISP","ALL_BDN_DISP","BDN_DISP","85,062","0.07%","34","90.91%", 00:03:50.0,"$ 658.13","08-2018","10-2019"
"FY19Q1","FA19_UNI_ALL_BDN_VID","ALL_BDN_VID","BDN_VID","975","5.13%","24","75%", 00:00:15.0,"$ 32.4","08-2018","03-2019"
"FY19Q1","FA19_UNI_ALL_DBM_AUD","ALL_DBM_AUD","DBM_AUD","29","0%","0","NaN%",NA,"$ 0.55","09-2018","01-2019"
"FY19Q1","FA19_UNI_ALL_DBM_DISP","ALL_DBM_DISP","DBM_DISP","803,904","0.06%","638","70.29%", 00:00:40.0,"$ 4328.44","08-2018","06-2020"
"FY19Q1","FA19_UNI_ALL_DBM_VID","ALL_DBM_VID","DBM_VID","67,864","0.22%","55","89.09%", 00:00:15.0,"$ 954.58","08-2018","07-2019"
"FY19Q1","FA19_UNI_ALL_HU_VID","ALL_HU_VID","HU_VID","552,358","0.04%","120","59.66%", 00:00:10.0,"$ 19251.3","08-2018","04-2019"
"FY19Q1","FA19_UNI_ALL_PPH_DISP","ALL_PPH_DISP","PPH_DISP","62,501","0.08%","38","97.37%", 00:00:00.0,"$ 625.01","08-2018","07-2019"
"FY19Q1","FA19_UNI_ALL_SJ_DISP","ALL_SJ_DISP","SJ_DISP","86,506","0.15%","80","92.11%", 00:01:05.0,"$ 684.08","08-2018","10-2019"
"FY19Q1","FA19_UNI_ALL_SPO_AUD","ALL_SPO_AUD","SPO_AUD","69","15.94%","38","70.83%", 00:01:05.0,"$ 0","08-2018","01-2019"
"FY19Q1","FA19_UNI_ALL_YT_VID","ALL_YT_VID","YT_VID","47,559","0.13%","45","52.27%", 00:00:55.0,"$ 1228.82","08-2018","07-2019"
"FY19Q1","FA19_UNI_CU_YT_VID","CU_YT_VID","YT_VID","76","0%","1","100%",NA,"$ 2.99","08-2018","07-2019"
"FY19Q1","FA19_UNI_HS_YT_VID","HS_YT_VID","YT_VID","60","0%","3","66.67%", 00:00:00.0,"$ 1.18","08-2018","07-2019"
"FY19Q1","FA19_UNI_WA_YT_VID","WA_YT_VID","YT_VID","3","0%","1","100%",NA,"$ 0.01","08-2018","06-2019"
"FY19Q1","SP19_GR_WA_FB_DISP","WA_FB_DISP","FB_DISP","89,283","0.62%","319","90.82%", 00:02:00.0,"$ 205.04","09-2018","03-2019"
"FY19Q2","FA19_DC_WA_FB_DISP","WA_FB_DISP","FB_DISP","275,915","0.6%","1,133","90.41%", 00:02:40.0,"$ 833.47","08-2018","08-2019"
"FY19Q2","FA19_DC_WA_FB_VID","WA_FB_VID","FB_VID","100,839","1.22%","627","88.6%", 00:02:00.0,"$ 881.71","09-2018","07-2019"
"FY19Q2","FA19_DC_WA_GM_TEXT","WA_GM_TEXT","GM_TEXT","12,609","10.65%","159","62.3%", 00:01:10.0,"$ 581.84","08-2018","08-2019"
"FY19Q2","FA19_DC_WA_IG_DISP","WA_IG_DISP","IG_DISP","15,859","0.6%","18","100%",NA,"$ 198.58","08-2018","07-2019"
"FY19Q2","FA19_DC_WA_IG_VID","WA_IG_VID","IG_VID","48,351","0.75%","63","91.8%", 00:03:05.0,"$ 650.89","09-2018","07-2019"
"FY19Q2","FA19_DC_WA_PIN_DISP","WA_PIN_DISP","PIN_DISP","203,909","0.37%","277","92.24%", 00:01:25.0,"$ 1166.56","09-2018","12-2019"
"FY19Q2","FA19_IC_WA_FB_DISP","WA_FB_DISP","FB_DISP","236,248","1.02%","1,381","88.95%", 00:01:15.0,"$ 1975.52","11-2018","04-2019"
"FY19Q2","FA19_IC_WA_IG_DISP","WA_IG_DISP","IG_DISP","42,287","0.68%","119","97.44%", 00:03:10.0,"$ 632.36","11-2018","01-2019"
"FY19Q2","FA19_ST_WA_FB_DISP","WA_FB_DISP","FB_DISP","164,118","0.78%","1,059","92.44%", 00:01:50.0,"$ 700.23","10-2018","03-2020"
"FY19Q2","FA19_TR_CU_FB_DISP","CU_FB_DISP","FB_DISP","228,025","0.58%","591","93.3%", 00:02:15.0,"$ 1402.2","08-2018","08-2019"
"FY19Q2","FA19_TR_CU_FB_VID","CU_FB_VID","FB_VID","97,645","0.6%","157","92.26%", 00:01:55.0,"$ 620.95","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_GM_TEXT","CU_GM_TEXT","GM_TEXT","18,886","7.67%","62","61.29%", 00:00:55.0,"$ 942.81","10-2018","08-2019"
"FY19Q2","FA19_TR_CU_IG_DISP","CU_IG_DISP","IG_DISP","32,359","0.29%","33","95.83%", 00:00:35.0,"$ 169.21","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_IG_VID","CU_IG_VID","IG_VID","102,026","0.35%","78","98.72%", 00:00:05.0,"$ 904.21","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_SC_VID","CU_SC_VID","SC_VID","341,157","1.21%","0","NaN%",NA,"$ 999.98","10-2018","05-2020"
"FY19Q2","FA19_UG_HS_FB_DISP","HS_FB_DISP","FB_DISP","315,792","0.34%","432","93.36%", 00:02:45.0,"$ 720.96","08-2018","05-2019"
"FY19Q2","FA19_UG_HS_FB_VID","HS_FB_VID","FB_VID","65,498","0.56%","88","90.91%", 00:00:10.0,"$ 299.76","08-2018","01-2019"
"FY19Q2","FA19_UG_HS_IG_DISP","HS_IG_DISP","IG_DISP","43,043","0.22%","13","100%",NA,"$ 195.41","08-2018","02-2019"
"FY19Q2","FA19_UG_HS_IG_VID","HS_IG_VID","IG_VID","154,802","0.2%","45","84.21%", 00:00:35.0,"$ 619.58","08-2018","06-2019"
"FY19Q2","FA19_UG_HS_PIN_DISP","HS_PIN_DISP","PIN_DISP","241,825","0.25%","101","92.86%", 00:04:05.0,"$ 1060.63","09-2018","01-2019"
"FY19Q2","FA19_UG_HS_SC_VID","HS_SC_VID","SC_VID","131,235","0.91%","196","97.92%", 00:00:40.0,"$ 212.83","08-2018","05-2020"
"FY19Q2","FA19_UG_IN_PIN_DISP","IN_PIN_DISP","PIN_DISP","208,289","0.3%","229","85.34%", 00:01:15.0,"$ 1059.65","09-2018","01-2020"
"FY19Q2","FA19_UG_TL_DBM_DISP","TL_DBM_DISP","DBM_DISP","1,117,597","0.17%","882","94.59%", 00:03:10.0,"$ 6540.57","09-2018","06-2020"
"FY19Q2","FA19_UG_TL_FB_DISP","TL_FB_DISP","FB_DISP","408,329","0.68%","1,385","93.25%", 00:01:50.0,"$ 970.6","08-2018","12-2019"
"FY19Q2","FA19_UG_TL_FB_VID","TL_FB_VID","FB_VID","35,106","0.75%","163","88.31%", 00:01:40.0,"$ 179.4","09-2018","11-2018"
"FY19Q2","FA19_UG_TL_IG_DISP","TL_IG_DISP","IG_DISP","178,927","0.16%","81","97.47%", 00:00:35.0,"$ 684.11","08-2018","11-2018"
"FY19Q2","FA19_UG_TL_IG_VID","TL_IG_VID","IG_VID","207,488","0.16%","101","96.88%", 00:00:15.0,"$ 665.7","09-2018","11-2018"
