"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"NAQNA"," FA20_POL_ALL_DBM_DISP_IG","ALL_DBM_DISP","DBM_DISP","23,900","0.28%","NA","NA%",NA,"$ 93.23",NA,NA
"NAQNA","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","651,115","0.62%","NA","NA%",NA,"$ 2275.4",NA,NA
"NAQNA","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID","393,387","1.19%","NA","NA%",NA,"$ 3224.17",NA,NA
"NAQNA","FA19_DC_WA_GM_TEXT_BR","WA_GM_TEXT","GM_TEXT","12,746","9.59%","NA","NA%",NA,"$ 502.98",NA,NA
"NAQNA","FA19_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT","7,114","11.71%","NA","NA%",NA,"$ 392.87",NA,NA
"NAQNA","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","81,658","0.58%","NA","NA%",NA,"$ 783.25",NA,NA
"NAQNA","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID","110,638","0.82%","NA","NA%",NA,"$ 1466.74",NA,NA
"NAQNA","FA19_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP","417,596","0.35%","NA","NA%",NA,"$ 2168.07",NA,NA
"NAQNA","FA19_DC_WA_VMEA_DISP_IG","WA_VMEA_DISP","VMEA_DISP","800,005","0.42%","NA","NA%",NA,"$ 0",NA,NA
"NAQNA","FA19_GR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","1,281,711","0.15%","NA","NA%",NA,"$ 2170.11",NA,NA
"NAQNA","FA19_GR_CU_FB_VID_IG","CU_FB_VID","FB_VID","311,529","0.38%","NA","NA%",NA,"$ 1579.85",NA,NA
"NAQNA","FA19_GR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","192,155","0.22%","NA","NA%",NA,"$ 1557.46",NA,NA
"NAQNA","FA19_GR_CU_IG_VID_IG","CU_IG_VID","IG_VID","105,517","0.23%","NA","NA%",NA,"$ 942.54",NA,NA
"NAQNA","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","615,364","0.55%","NA","NA%",NA,"$ 2182.95",NA,NA
"NAQNA","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID","148,748","1.59%","NA","NA%",NA,"$ 1567.05",NA,NA
"NAQNA","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","121,066","0.52%","NA","NA%",NA,"$ 1222.85",NA,NA
"NAQNA","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID","87,506","0.88%","NA","NA%",NA,"$ 1277.14",NA,NA
"NAQNA","FA19_IC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","356,900","1.01%","NA","NA%",NA,"$ 2735.36",NA,NA
"NAQNA","FA19_IC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","75,633","0.62%","NA","NA%",NA,"$ 924.37",NA,NA
