"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q1","FA19_GR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","395,166","0.22%","550","93.19%", 00:02:35.0,"$ 732.53","08-2018","05-2019"
"FY19Q1","FA19_GR_CU_FB_VID_IG","CU_FB_VID","FB_VID","49,224","0.48%","68","98.53%", 00:00:00.0,"$ 267.47","09-2018","07-2019"
"FY19Q1","FA19_GR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","40,242","0.22%","25","71.43%", 00:00:15.0,"$ 377.06","08-2018","04-2019"
"FY19Q1","FA19_GR_CU_IG_VID_IG","CU_IG_VID","IG_VID","33,517","0.26%","15","85.71%", 00:01:00.0,"$ 372.94","09-2018","04-2019"
"FY19Q1","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","408,927","0.38%","1,109","91.89%", 00:01:50.0,"$ 735.97","08-2018","12-2019"
"FY19Q1","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID","33,979","1.45%","302","81.6%", 00:00:40.0,"$ 264.03","09-2018","09-2019"
"FY19Q1","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","11,870","0.51%","18","81.25%", 00:00:45.0,"$ 158.61","08-2018","04-2019"
"FY19Q1","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID","23,667","0.69%","22","100%",NA,"$ 341.39","09-2018","04-2019"
"FY19Q1","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP","89,283","0.62%","319","90.82%", 00:02:00.0,"$ 205.04","09-2018","03-2019"
"FY19Q2","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP","153,876","0.7%","923","77.93%", 00:02:15.0,"$ 502.08","09-2018","03-2019"
"FY19Q3","FA19_GR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","555,761","0.12%","273","96.14%", 00:02:35.0,"$ 896.81","08-2018","05-2019"
"FY19Q3","FA19_GR_CU_FB_VID_IG","CU_FB_VID","FB_VID","165,530","0.35%","111","95.45%", 00:00:10.0,"$ 830.47","09-2018","07-2019"
"FY19Q3","FA19_GR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","83,186","0.25%","35","100%",NA,"$ 674.14","08-2018","04-2019"
"FY19Q3","FA19_GR_CU_IG_VID_IG","CU_IG_VID","IG_VID","49,351","0.22%","24","90.48%", 00:01:05.0,"$ 387.95","09-2018","04-2019"
"FY19Q3","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","133,209","0.98%","842","90.66%", 00:01:50.0,"$ 985.46","08-2018","12-2019"
"FY19Q3","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID","68,366","1.71%","595","85.93%", 00:02:40.0,"$ 739.19","09-2018","09-2019"
"FY19Q3","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","52,713","0.52%","108","97.09%", 00:00:45.0,"$ 543.43","08-2018","04-2019"
"FY19Q3","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID","42,360","0.96%","90","96.51%", 00:00:15.0,"$ 598.42","09-2018","04-2019"
"FY19Q3","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP","237,588","0.36%","426","89.49%", 00:01:20.0,"$ 792.84","09-2018","03-2019"
"FY19Q4","FA19_GR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","330,784","0.11%","177","95.32%", 00:03:05.0,"$ 540.77","08-2018","05-2019"
"FY19Q4","FA19_GR_CU_FB_VID_IG","CU_FB_VID","FB_VID","96,775","0.39%","105","91.43%", 00:00:25.0,"$ 481.91","09-2018","07-2019"
