"Quarter","AdSet","Ad","Vendor","Start_Date","End_Date","Cost","Clicks","Impressions","Bounces","Sessions","UPV","Views","Completions","Step1","ClickRatePct","BounceRatePct","ViewRate","VTR","ClickableCompletions","ClickableCompRate","Swipes","SwipeUpRatePct","Opens","CTOR","Sends","LIOpens","OpenRate","Engagements","Results","EngagementRate","EngRate","Avg_RR","Av_TOP"
"FY19Q1","FA19_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP",2018-08-06,2019-05-07,1510.27,2846,687379,640,1199,1222,0,0,13.2205438066465,0.41,53.38,0,0,0,Inf,0,0,2842,99.86,0,2842,Inf,2879,0,0.42,Inf,0,00:00:15
"FY19Q1","FA19_UG_HS_FB_VID_IG","HS_FB_VID","FB_VID",2018-08-10,2019-01-15,469.01,462,82996,56,96,97,54075,666,10.8863636363636,0.56,58.33,65.15,0.8,0,Inf,0,0,327,70.78,0,327,Inf,15210,0,18.33,Inf,0,00:00:10
"FY19Q1","FA19_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP",2018-08-07,2019-02-11,355.86,156,52094,27,34,34,0,0,2,0.3,79.41,0,0,0,Inf,0,0,107,68.59,0,107,Inf,154,0,0.3,Inf,0,00:00:00
"FY19Q1","FA19_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID",2018-08-10,2019-06-30,707.38,267,100178,33,44,45,72667,110,22.9,0.27,75,72.54,0.11,0,Inf,0,0,232,86.89,0,232,Inf,4218,0,4.21,Inf,0,00:00:25
"FY19Q1","FA19_UG_HS_PIN_DISP_BR","HS_PIN_DISP","PIN_DISP",2018-09-04,2019-01-13,6.33,33,6195,11,13,13,0,0,689.5,0.53,84.62,0,0,0,Inf,0,0,0,0,0,0,NA,405,0,6.54,Inf,0,00:11:30
"FY19Q1","FA19_UG_HS_SC_VID_IG","HS_SC_VID","SC_VID",2018-08-30,2020-05-26,13.82,79,8706,80,85,87,0,0,49.7142857142857,0.91,94.12,0,0,0,Inf,0,0,0,0,0,0,NA,0,0,0,NA,0,00:00:50
"FY19Q1","FA19_UG_IN_PIN_DISP_BR","IN_PIN_DISP","PIN_DISP",2018-09-04,2020-01-31,3.93,20,4074,11,13,13,0,0,11.5,0.49,84.62,0,0,0,Inf,0,0,0,0,0,0,NA,356,0,8.74,Inf,0,00:00:10
"FY19Q2","FA19_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP",2018-08-06,2019-05-07,720.96,1072,315792,394,422,432,0,0,163.775,0.34,93.36,0,0,0,Inf,0,0,1038,96.83,0,1038,Inf,1053,0,0.33,Inf,0,00:02:45
"FY19Q2","FA19_UG_HS_FB_VID_IG","HS_FB_VID","FB_VID",2018-08-10,2019-01-15,299.76,366,65498,70,77,88,50488,6656,7.93193717277487,0.56,90.91,77.08,10.16,0,Inf,0,0,221,60.38,0,221,Inf,17387,0,26.55,Inf,0,00:00:10
"FY19Q2","FA19_UG_HS_IG_DISP_IG","HS_IG_DISP","IG_DISP",2018-08-07,2019-02-11,195.41,94,43043,13,13,13,0,0,0,0.22,100,0,0,0,Inf,0,0,74,78.72,0,74,Inf,92,0,0.21,Inf,0,00:00:00
"FY19Q2","FA19_UG_HS_IG_VID_IG","HS_IG_VID","IG_VID",2018-08-10,2019-06-30,619.58,308,154802,32,38,45,125401,1059,35.5,0.2,84.21,81.01,0.68,0,Inf,0,0,258,83.77,0,258,Inf,4897,0,3.16,Inf,0,00:00:35
"FY19Q2","FA19_UG_HS_PIN_DISP_BR","HS_PIN_DISP","PIN_DISP",2018-09-04,2019-01-13,1060.63,612,241825,91,98,101,0,0,246.666666666667,0.25,92.86,0,0,0,Inf,0,0,0,0,0,0,NA,13986,0,5.78,Inf,0,00:04:05
"FY19Q2","FA19_UG_HS_SC_VID_IG","HS_SC_VID","SC_VID",2018-08-30,2020-05-26,212.83,1193,131235,188,192,196,2936,382,39.2,0.91,97.92,2.24,0.29,0,Inf,496,0.38,0,0,0,0,NA,0,0,0,NA,0,00:00:40
"FY19Q2","FA19_UG_IN_PIN_DISP_BR","IN_PIN_DISP","PIN_DISP",2018-09-04,2020-01-31,1059.65,616,208289,163,191,229,0,0,73.1228070175439,0.3,85.34,0,0,0,Inf,0,0,0,0,0,0,NA,10380,0,4.98,Inf,0,00:01:15
"FY19Q3","FA19_UG_HS_FB_DISP_IG","HS_FB_DISP","FB_DISP",2018-08-06,2019-05-07,168.46,202,54832,20,20,20,0,0,0,0.37,100,0,0,0,Inf,0,0,135,66.83,0,135,Inf,149,0,0.27,Inf,0,00:00:00
