"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q1","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","1,327,800","0.35%","3,449","56.48%", 00:00:25.0,"$ 2465.84","08-2018","08-2019"
"FY19Q1","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","101,776","0.64%","213","67.96%", 00:00:10.0,"$ 534.16","08-2018","07-2019"
"FY19Q1","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","72,537","0.46%","56","57.14%", 00:00:05.0,"$ 643.2","08-2018","07-2019"
"FY19Q1","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","165,728","0.35%","107","88.24%", 00:00:15.0,"$ 1356.8","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","228,025","0.58%","591","93.3%", 00:02:15.0,"$ 1402.2","08-2018","08-2019"
"FY19Q2","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","97,645","0.6%","157","92.26%", 00:01:55.0,"$ 620.95","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_GM_TEXT_IG","CU_GM_TEXT","GM_TEXT","18,886","7.67%","62","61.29%", 00:00:55.0,"$ 942.81","10-2018","08-2019"
"FY19Q2","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","32,359","0.29%","33","95.83%", 00:00:35.0,"$ 169.21","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","102,026","0.35%","78","98.72%", 00:00:05.0,"$ 904.21","08-2018","07-2019"
"FY19Q2","FA19_TR_CU_SC_VID_IG","CU_SC_VID","SC_VID","341,157","1.21%","0","NaN%",NA,"$ 999.98","10-2018","03-2020"
"FY19Q3","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","4,964","1.05%","5","80%", 00:19:35.0,"$ 34.68","08-2018","08-2019"
"FY19Q3","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","2,090","0.53%","2","0%", 00:02:25.0,"$ 6.81","08-2018","07-2019"
"FY19Q3","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","1,551","0.19%","0","NaN%",NA,"$ 3.46","08-2018","07-2019"
"FY19Q3","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","6,146","0.28%","3","100%",NA,"$ 25.89","08-2018","07-2019"
"FY20Q1","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","95,393","0.67%","67","96.97%", 00:00:15.0,"$ 728.17","08-2018","08-2019"
"FY20Q1","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","29,604","0.59%","29","96.43%", 00:00:05.0,"$ 206.98","08-2018","07-2019"
"FY20Q1","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","13,177","0.22%","3","100%",NA,"$ 68.72","08-2018","07-2019"
"FY20Q1","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","26,085","0.32%","9","100%",NA,"$ 260.08","08-2018","07-2019"
"FY20Q1","FA20_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP","119,579","0.09%","311","77%", 00:00:15.0,"$ 1399.61","08-2019","Ongoing"
"FY20Q1","FA20_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","48,031","0.6%","56","81.82%", 00:02:00.0,"$ 102.91","08-2019","12-2019"
"FY20Q1","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","61,624","0.44%","196","98.47%", 00:02:05.0,"$ 599.97","08-2019","Ongoing"
"FY20Q2","FA20_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP","959,943","0.08%","1,507","57.66%", 00:00:35.0,"$ 9136.12","08-2019","Ongoing"
"FY20Q2","FA20_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP","124,800","0.34%","210","85.21%", 00:02:55.0,"$ 274.68","08-2019","12-2019"
"FY20Q2","FA20_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","138,338","0.93%","532","96.39%", 00:00:20.0,"$ 1174.71","11-2019","02-2020"
"FY20Q2","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","7,729","0.6%","33","90.91%", 00:03:55.0,"$ 94.37","08-2019","Ongoing"
"FY20Q2","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST","6,429","0.34%","29","100%",NA,"$ 47.24","11-2019","Ongoing"
"FY20Q2","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","20,251","0.4%","73","98.59%", 00:00:25.0,"$ 158.98","11-2019","Ongoing"
"FY20Q2","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID","505,353","1%","3,187","88.85%", 00:10:15.0,"$ 1919.99","10-2019","Ongoing"
"FY20Q2","FA20_TR_CU_TW_DISP_IG","CU_TW_DISP","TW_DISP","70,799","0%","472","81.09%", 00:01:30.0,"$ 2416.91","10-2019","Ongoing"
"FY20Q2","FA20_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID","82,276","0.08%","34","85.29%", 00:02:10.0,"$ 1566.98","10-2019","03-2020"
"FY20Q3","FA20_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP","262,059","0.11%","625","72.65%", 00:00:20.0,"$ 1986.54","08-2019","Ongoing"
"FY20Q3","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","20,453","0.29%","61","95.08%", 00:07:50.0,"$ 142.59","08-2019","Ongoing"
"FY20Q3","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST","9,349","0.2%","20","95%", 00:26:55.0,"$ 37.39","11-2019","Ongoing"
"FY20Q3","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","38,851","0.2%","79","92%", 00:01:25.0,"$ 154.17","11-2019","Ongoing"
"FY20Q3","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID","258,715","1.16%","4,912","98.25%", 00:13:10.0,"$ 842.18","10-2019","Ongoing"
"FY20Q3","FA20_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID","47,461","0.08%","32","87.5%", 00:00:40.0,"$ 844.1","10-2019","03-2020"
"FY20Q3","FA21_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP","415,972","0.11%","839","69.99%", 00:00:10.0,"$ 3447.04","02-2020","Ongoing"
"FY20Q3","FA21_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","270,842","0.41%","514","96.21%", 00:01:50.0,"$ 1055.11","02-2020","Ongoing"
"FY20Q3","FA21_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST","5,573","0.16%","16","87.5%", 00:07:45.0,"$ 22.32","02-2020","Ongoing"
"FY20Q3","FA21_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","30,259","0.21%","64","91.94%", 00:04:25.0,"$ 141.75","02-2020","Ongoing"
"FY20Q3","FA21_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID","141,063","1.1%","3,730","98.36%", 00:12:30.0,"$ 509.65","02-2020","Ongoing"
"FY20Q3","FA21_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID","42,374","0.11%","29","93.1%", 00:00:20.0,"$ 754.72","03-2020","Ongoing"
"FY20Q4","FA20_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP","6,910","0.27%","18","77.78%", 00:05:20.0,"$ 40.65","08-2019","Ongoing"
"FY20Q4","FA20_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST","4,116","0.19%","4","100%",NA,"$ 10.78","11-2019","Ongoing"
"FY20Q4","FA20_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","5,873","0.17%","5","100%",NA,"$ 20.5","11-2019","Ongoing"
"FY20Q4","FA20_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID","69,056","1.43%","173","98.27%", 00:03:05.0,"$ 111.61","10-2019","Ongoing"
"FY20Q4","FA21_TR_CU_DBM_DISP_IG","CU_DBM_DISP","DBM_DISP","67,332","0.1%","96","68.42%", 00:00:05.0,"$ 625.68","02-2020","Ongoing"
"FY20Q4","FA21_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID","86,316","0.35%","125","97.6%", 00:00:05.0,"$ 265.36","02-2020","Ongoing"
"FY20Q4","FA21_TR_CU_IG_ST_BR","CU_IG_ST","IG_ST","6,127","0.2%","13","92.31%", 00:06:45.0,"$ 19.7","02-2020","Ongoing"
"FY20Q4","FA21_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID","20,024","0.17%","35","97.14%", 00:01:35.0,"$ 80.84","02-2020","Ongoing"
"FY20Q4","FA21_TR_CU_SC_VID_BR","CU_SC_VID","SC_VID","17,261","1.49%","122","100%",NA,"$ 28.4","02-2020","Ongoing"
"FY20Q4","FA21_TR_CU_YT_VID_BR","CU_YT_VID","YT_VID","13,399","0.07%","2","100%",NA,"$ 175.84","03-2020","Ongoing"
