"Quarter","AdSet","Ad","Vendor","Start_Date","End_Date","Cost","Clicks","Impressions","Bounces","Sessions","UPV","Views","Completions","Step1","ClickRatePct","BounceRatePct","ViewRate","VTR","ClickableCompletions","ClickableCompRate","Swipes","SwipeUpRatePct","Opens","CTOR","Sends","LIOpens","OpenRate","Engagements","Results","EngagementRate","EngRate","Avg_RR","Av_TOP"
"FY19Q1","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP",2018-08-07,2019-08-01,2465.84,4666,1327800,1905,3373,3449,0,0,25.9478407178912,0.35,56.48,0,0,0,Inf,0,0,4834,103.6,0,4834,Inf,4841,0,0.36,Inf,0,00:00:25
"FY19Q1","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID",2018-08-10,2019-07-30,534.16,655,101776,140,206,213,40887,2105,10.8241758241758,0.64,67.96,40.17,2.07,0,Inf,0,0,620,94.66,0,620,Inf,25275,0,24.83,Inf,0,00:00:10
"FY19Q1","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP",2018-08-07,2019-07-30,643.2,335,72537,32,56,56,0,0,6.38461538461539,0.46,57.14,0,0,0,Inf,0,0,294,87.76,0,294,Inf,321,0,0.44,Inf,0,00:00:05
"FY19Q1","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2018-08-10,2019-07-30,1356.8,580,165728,90,102,107,126081,227,14.4444444444444,0.35,88.24,76.08,0.14,0,Inf,0,0,549,94.66,0,549,Inf,6481,0,3.91,Inf,0,00:00:15
"FY19Q2","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP",2018-08-07,2019-08-01,1402.2,1331,228025,543,582,591,0,0,136.745454545455,0.58,93.3,0,0,0,Inf,0,0,1167,87.68,0,1167,Inf,1177,0,0.52,Inf,0,00:02:15
"FY19Q2","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID",2018-08-10,2019-07-30,620.95,585,97645,143,155,157,79619,20598,116.454545454545,0.6,92.26,81.54,21.09,0,Inf,0,0,331,56.58,0,331,Inf,31467,0,32.23,Inf,0,00:01:55
"FY19Q2","FA19_TR_CU_GM_TEXT_IG","CU_GM_TEXT","GM_TEXT",2018-10-29,2019-08-13,942.81,1449,18886,19,31,62,0,0,53.4807692307692,7.67,61.29,0,0,0,Inf,0,0,15,1.04,0,15,Inf,0,0,0,Inf,0,00:00:55
"FY19Q2","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP",2018-08-07,2019-07-30,169.21,93,32359,23,24,33,0,0,33.35,0.29,95.83,0,0,0,Inf,0,0,41,44.09,0,41,Inf,92,0,0.28,Inf,0,00:00:35
"FY19Q2","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2018-08-10,2019-07-30,904.21,353,102026,77,78,78,90058,982,5,0.35,98.72,88.27,0.96,0,Inf,0,0,279,79.04,0,279,Inf,6117,0,6,Inf,0,00:00:05
"FY19Q2","FA19_TR_CU_SC_VID_IG","CU_SC_VID","SC_VID",2018-10-30,2020-03-16,999.98,4143,341157,0,0,0,12501,1661,0,1.21,NA,3.66,0.49,0,Inf,3266,0.96,0,0,0,0,NA,0,0,0,NA,0,00:00:00
"FY19Q3","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP",2018-08-07,2019-08-01,34.68,52,4964,4,5,5,0,0,1174,1.05,80,0,0,0,Inf,0,0,40,76.92,0,40,Inf,43,0,0.87,Inf,0,00:19:35
"FY19Q3","FA19_TR_CU_FB_VID_IG","CU_FB_VID","FB_VID",2018-08-10,2019-07-30,6.81,11,2090,0,1,2,1814,531,147,0.53,0,86.79,25.41,0,Inf,0,0,6,54.55,0,6,Inf,709,0,33.92,Inf,0,00:02:25
"FY19Q3","FA19_TR_CU_IG_DISP_IG","CU_IG_DISP","IG_DISP",2018-08-07,2019-07-30,3.46,3,1551,0,0,0,0,0,0,0.19,NA,0,0,0,Inf,0,0,0,0,0,0,NA,1,0,0.06,Inf,0,00:00:00
"FY19Q3","FA19_TR_CU_IG_VID_IG","CU_IG_VID","IG_VID",2018-08-10,2019-07-30,25.89,17,6146,3,3,3,5495,53,0,0.28,100,89.41,0.86,0,Inf,0,0,12,70.59,0,12,Inf,336,0,5.47,Inf,0,00:00:00
"FY20Q1","FA19_TR_CU_FB_DISP_IG","CU_FB_DISP","FB_DISP",2018-08-07,2019-08-01,728.17,641,95393,64,66,67,0,0,16.5,0.67,96.97,0,0,0,Inf,0,0,466,72.7,0,466,Inf,475,0,0.5,Inf,0,00:00:15
