Quarter,AdSet,Ad,Vendor,Impressions,CTR,UPV,BR,Av_TOP,Cost,Start_Date,End_Date
FY19Q1,FA19_UNI_ALL_BDN_DISP_BR,ALL_BDN_DISP,BDN_DISP,"85,062",0.07%,34,90.91%, 00:03:50.0,$658.13 ,18-Aug,19-Oct
FY19Q1,FA19_UNI_ALL_BDN_VID_BR,ALL_BDN_VID,BDN_VID,975,5.13%,24,75%, 00:00:15.0,$32.40 ,18-Aug,19-Mar
FY19Q1,FA19_UNI_ALL_DBM_AUD_BR,ALL_DBM_AUD,DBM_AUD,29,0%,0,NaN%,NA,$0.55 ,18-Sep,19-Jan
FY19Q1,FA19_UNI_ALL_DBM_DISP_BR,ALL_DBM_DISP,DBM_DISP,"803,904",0.06%,638,70.29%, 00:00:40.0,"$4,328.44 ",18-Aug,20-Mar
FY19Q1,FA19_UNI_ALL_DBM_VID_BR,ALL_DBM_VID,DBM_VID,"67,864",0.22%,55,89.09%, 00:00:15.0,$954.58 ,18-Aug,19-Jul
FY19Q1,FA19_UNI_ALL_HU_VID_BR,ALL_HU_VID,HU_VID,"552,358",0.04%,120,59.66%, 00:00:10.0,"$19,251.30 ",18-Aug,19-Apr
FY19Q1,FA19_UNI_ALL_PPH_DISP_BR,ALL_PPH_DISP,PPH_DISP,"62,501",0.08%,38,97.37%, 00:00:00.0,$625.01 ,18-Aug,19-Jul
FY19Q1,FA19_UNI_ALL_SJ_DISP_BR,ALL_SJ_DISP,SJ_DISP,"86,506",0.15%,80,92.11%, 00:01:05.0,$684.08 ,18-Aug,19-Oct
FY19Q1,FA19_UNI_ALL_SPO_AUD_BR,ALL_SPO_AUD,SPO_AUD,69,15.94%,38,70.83%, 00:01:05.0,$0 ,18-Aug,19-Jan
FY19Q1,FA19_UNI_ALL_YT_VID_BR,ALL_YT_VID,YT_VID,"47,559",0.13%,45,52.27%, 00:00:55.0,"$1,228.82 ",18-Aug,19-Jul
FY19Q1,FA19_UNI_CU_YT_VID_BR,CU_YT_VID,YT_VID,76,0%,1,100%,NA,$2.99 ,18-Aug,19-Jul
FY19Q1,FA19_UNI_HS_YT_VID_BR,HS_YT_VID,YT_VID,60,0%,3,66.67%, 00:00:00.0,$1.18 ,18-Aug,19-Jul
FY19Q1,FA19_UNI_WA_YT_VID_BR,WA_YT_VID,YT_VID,3,0%,1,100%,NA,$0.01 ,18-Aug,19-Jun
FY19Q2,FA19_UNI_ALL_BDN_DISP_BR,ALL_BDN_DISP,BDN_DISP,"230,315",0.10%,165,95.65%, 00:02:00.0,"$2,072.34 ",18-Aug,19-Oct
FY19Q2,FA19_UNI_ALL_BDN_VID_BR,ALL_BDN_VID,BDN_VID,"40,169",5.06%,"1,306",91.29%, 00:01:20.0,"$1,409.52 ",18-Aug,19-Mar
FY19Q2,FA19_UNI_ALL_DBM_AUD_BR,ALL_DBM_AUD,DBM_AUD,"1,035,350",0%,13,83.33%, 00:00:15.0,"$24,654.62 ",18-Sep,19-Jan
FY19Q2,FA19_UNI_ALL_DBM_DISP_BR,ALL_DBM_DISP,DBM_DISP,"2,178,079",0.06%,"1,305",95.70%, 00:01:50.0,"$9,666.22 ",18-Aug,20-Mar
FY19Q2,FA19_UNI_ALL_DBM_VID_BR,ALL_DBM_VID,DBM_VID,"187,156",0.23%,217,85.79%, 00:01:25.0,"$3,156.21 ",18-Aug,19-Jul
FY19Q2,FA19_UNI_ALL_HU_VID_BR,ALL_HU_VID,HU_VID,"950,083",0.06%,381,89.70%, 00:01:50.0,"$33,124.02 ",18-Aug,19-Apr
FY19Q2,FA19_UNI_ALL_PPH_DISP_BR,ALL_PPH_DISP,PPH_DISP,"187,512",0.17%,205,95.02%, 00:01:05.0,"$1,875.12 ",18-Aug,19-Jul
