"Term","Audience","Product","Code_Vendor","Code_Medium","Date","Impressions","Clicks","Bounces","Sessions","Swipes","CTR","SwipeUpRatePct","UPV","BR","Av_TOP","ClickableCompRate","VTR","CTOR","OpenRate","Sends","ViewRate","ClickableCompletions","Completions","Opens","LIOpens","LIClicks","Engagements","LICTOR","EngRate","EngagementRate","Master_Exits","Master_Pageviews","Master_Time_On_Page","Cost","Avg_RR","Results","Views"
"FA19","ALL","MPH","LI","TEXT",2018-07-03,185,1,0,0,0,0.54,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,1,NA,Inf,0.54,0,0,0,5.41,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-04,146,1,0,0,0,0.68,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,1,NA,Inf,0.68,0,0,0,5.59,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-05,151,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,5.12,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-06,134,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,1,NA,Inf,0.75,0,0,0,3.34,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-07,158,2,0,0,0,1.27,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,2,NA,Inf,1.27,0,0,0,3.71,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-08,133,2,0,0,0,1.5,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,2,NA,Inf,1.5,0,0,0,4.31,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-09,174,5,0,0,0,2.87,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,5,NA,Inf,2.87,0,0,0,3.08,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-10,158,2,0,0,0,1.27,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,2,NA,Inf,1.27,0,0,0,3,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-11,155,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,3.33,NA,NA,0
"FA19","ALL","MPH","LI","TEXT",2018-07-12,170,2,0,0,0,1.18,0,0,NA,NA,Inf,0,0,NA,0,0,0,0,0,0,0,2,NA,Inf,1.18,0,0,0,3.32,NA,NA,0
