"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q1","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","273,260","0.44%","953","93.37%", 00:01:45.0,"$ 580.93","08-2018","08-2019"
"FY19Q1","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID","18,629","1.33%","161","91.3%", 00:00:35.0,"$ 156.02","09-2018","07-2019"
"FY19Q1","FA19_DC_WA_GM_TEXT_BR","WA_GM_TEXT","GM_TEXT","7,251","9.82%","62","72%", 00:01:25.0,"$ 314.01","09-2018","11-2018"
"FY19Q1","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","7,586","0.3%","13","69.23%", 00:00:05.0,"$ 104.69","08-2018","07-2019"
"FY19Q1","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID","16,974","0.66%","24","90.48%", 00:00:45.0,"$ 257.1","09-2018","07-2019"
"FY19Q1","FA19_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP","41,355","0.38%","73","94.37%", 00:00:40.0,"$ 178.87","09-2018","12-2019"
"FY19Q1","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","408,927","0.38%","1,109","91.89%", 00:01:50.0,"$ 735.97","08-2018","12-2019"
"FY19Q1","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID","33,979","1.45%","302","81.6%", 00:00:40.0,"$ 264.03","09-2018","09-2019"
"FY19Q1","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","11,870","0.51%","18","81.25%", 00:00:45.0,"$ 158.61","08-2018","04-2019"
"FY19Q1","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID","23,667","0.69%","22","100%",NA,"$ 341.39","09-2018","04-2019"
"FY19Q1","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID","3","0%","1","100%",NA,"$ 0.01","08-2018","06-2019"
"FY19Q1","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP","89,283","0.62%","319","90.82%", 00:02:00.0,"$ 205.04","09-2018","03-2019"
"FY19Q2","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP","275,915","0.6%","1,133","90.41%", 00:02:40.0,"$ 833.47","08-2018","08-2019"
"FY19Q2","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID","100,839","1.22%","627","88.6%", 00:02:00.0,"$ 881.71","09-2018","07-2019"
"FY19Q2","FA19_DC_WA_GM_TEXT_BR","WA_GM_TEXT","GM_TEXT","5,495","9.28%","81","53.85%", 00:01:20.0,"$ 188.97","09-2018","11-2018"
"FY19Q2","FA19_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT","7,114","11.71%","78","68.57%", 00:01:00.0,"$ 392.87","08-2018","08-2019"
"FY19Q2","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP","15,859","0.6%","18","100%",NA,"$ 198.58","08-2018","07-2019"
