"Quarter","AdSet","Ad","Vendor","Start_Date","End_Date","Cost","Clicks","Impressions","Bounces","Sessions","UPV","Views","Completions","Step1","ClickRatePct","BounceRatePct","ViewRate","VTR","ClickableCompletions","ClickableCompRate","Swipes","SwipeUpRatePct","Opens","CTOR","Sends","LIOpens","OpenRate","Engagements","Results","EngagementRate","EngRate","Avg_RR","Av_TOP"
"FY19Q1","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-08-05,580.93,1202,273260,859,920,953,0,0,103.401869158879,0.44,93.37,0,0,0,Inf,0,0,1231,102.41,0,1231,Inf,1236,0,0.45,Inf,0,00:01:45
"FY19Q1","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-07-31,156.02,248,18629,147,161,161,9602,1113,33.3636363636364,1.33,91.3,51.54,5.97,0,Inf,0,0,255,102.82,0,255,Inf,7377,0,39.6,Inf,0,00:00:35
"FY19Q1","FA19_DC_WA_GM_TEXT_BR","WA_GM_TEXT","GM_TEXT",2018-09-01,2018-11-06,314.01,712,7251,18,25,62,0,0,84.8,9.82,72,0,0,0,Inf,0,0,18,2.53,0,18,Inf,0,0,0,Inf,0,00:01:25
"FY19Q1","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-07-31,104.69,23,7586,9,13,13,0,0,7.25,0.3,69.23,0,0,0,Inf,0,0,16,69.57,0,16,Inf,20,0,0.26,Inf,0,00:00:05
"FY19Q1","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-07-31,257.1,112,16974,19,21,24,11818,54,44.5,0.66,90.48,69.62,0.32,0,Inf,0,0,104,92.86,0,104,Inf,1772,0,10.44,Inf,0,00:00:45
"FY19Q1","FA19_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP",2018-09-04,2019-12-05,178.87,158,41355,67,71,73,0,0,41.3333333333333,0.38,94.37,0,0,0,Inf,0,0,0,0,0,0,NA,1954,0,4.72,Inf,0,00:00:40
"FY19Q1","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-12-15,735.97,1537,408927,997,1085,1109,0,0,108.444444444444,0.38,91.89,0,0,0,Inf,0,0,1647,107.16,0,1647,Inf,1651,0,0.4,Inf,0,00:01:50
"FY19Q1","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-09-08,264.03,491,33979,235,288,302,18647,2479,41.8644688644689,1.45,81.6,54.88,7.3,0,Inf,0,0,466,94.91,0,466,Inf,14600,0,42.97,Inf,0,00:00:40
"FY19Q1","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-04-30,158.61,61,11870,13,16,18,0,0,47.25,0.51,81.25,0,0,0,Inf,0,0,49,80.33,0,49,Inf,64,0,0.54,Inf,0,00:00:45
"FY19Q1","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-04-30,341.39,163,23667,22,22,22,16957,100,0,0.69,100,71.65,0.42,0,Inf,0,0,148,90.8,0,148,Inf,2561,0,10.82,Inf,0,00:00:00
"FY19Q1","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID",2018-08-09,2019-06-30,0.01,0,3,1,1,1,1,1,0,0,100,33.33,33.33,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,0,00:00:00
"FY19Q1","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP",2018-09-07,2019-03-31,205.04,552,89283,267,294,319,0,0,120.509433962264,0.62,90.82,0,0,0,Inf,0,0,454,82.25,0,454,Inf,482,0,0.54,Inf,0,00:02:00
"FY19Q2","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-08-05,833.47,1666,275915,981,1085,1133,0,0,160.277777777778,0.6,90.41,0,0,0,Inf,0,0,1667,100.06,0,1667,Inf,1686,0,0.61,Inf,0,00:02:40
"FY19Q2","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-07-31,881.71,1229,100839,544,614,627,77852,38752,121.275590551181,1.22,88.6,77.2,38.43,0,Inf,0,0,1101,89.59,0,1101,Inf,60184,0,59.68,Inf,0,00:02:00
"FY19Q2","FA19_DC_WA_GM_TEXT_BR","WA_GM_TEXT","GM_TEXT",2018-09-01,2018-11-06,188.97,510,5495,14,26,81,0,0,80.64,9.28,53.85,0,0,0,Inf,0,0,13,2.55,0,13,Inf,0,0,0,Inf,0,00:01:20
"FY19Q2","FA19_DC_WA_GM_TEXT_IG","WA_GM_TEXT","GM_TEXT",2018-08-30,2019-08-28,392.87,833,7114,24,35,78,0,0,57.5357142857143,11.71,68.57,0,0,0,Inf,0,0,25,3,0,25,Inf,0,0,0,Inf,0,00:01:00
"FY19Q2","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-07-31,198.58,95,15859,18,18,18,0,0,0,0.6,100,0,0,0,Inf,0,0,87,91.58,0,87,Inf,91,0,0.57,Inf,0,00:00:00
"FY19Q2","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-07-31,650.89,365,48351,56,61,63,37926,773,186.142857142857,0.75,91.8,78.44,1.6,0,Inf,0,0,346,94.79,0,346,Inf,3864,0,7.99,Inf,0,00:03:05
"FY19Q2","FA19_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP",2018-09-04,2019-12-05,1166.56,750,203909,214,232,277,0,0,84.0281690140845,0.37,92.24,0,0,0,Inf,0,0,0,0,0,0,NA,8949,0,4.39,Inf,0,00:01:25
"FY19Q2","FA19_IC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-11-01,2019-04-16,1975.52,2406,236248,1071,1204,1381,0,0,75.3116531165312,1.02,88.95,0,0,0,Inf,0,0,2060,85.62,0,2060,Inf,2153,0,0.91,Inf,0,00:01:15
"FY19Q2","FA19_IC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-11-01,2019-01-23,632.36,287,42287,114,117,119,0,0,191.25,0.68,97.44,0,0,0,Inf,0,0,263,91.64,0,263,Inf,271,0,0.64,Inf,0,00:03:10
"FY19Q2","FA19_ST_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-10-11,2020-03-18,700.23,1275,164118,954,1032,1059,0,0,111.264,0.78,92.44,0,0,0,Inf,0,0,1359,106.59,0,1359,Inf,1360,0,0.83,Inf,0,00:01:50
"FY19Q2","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID",2018-08-09,2019-06-30,0.1,0,4,1,1,1,2,2,0,0,100,50,50,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,0,00:00:00
"FY19Q2","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP",2018-09-07,2019-03-31,502.08,1075,153876,646,829,923,0,0,132.786026200873,0.7,77.93,0,0,0,Inf,0,0,968,90.05,0,968,Inf,994,0,0.65,Inf,0,00:02:15
"FY19Q2","SP19_ST_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-11-11,2019-07-17,1065.08,627,191536,415,452,464,0,0,121.967213114754,0.33,91.81,0,0,0,Inf,0,0,641,102.23,0,641,Inf,644,0,0.34,Inf,0,00:02:00
"FY19Q3","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-08-05,524.61,709,56343,94,107,121,0,0,114.260869565217,1.26,87.85,0,0,0,Inf,0,0,434,61.21,0,434,Inf,460,0,0.82,Inf,0,00:01:55
"FY19Q3","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-07-31,1149.12,1669,149397,356,402,412,113952,44271,81.7532467532468,1.12,88.56,76.27,29.63,0,Inf,0,0,1160,69.5,0,1160,Inf,66294,0,44.37,Inf,0,00:01:20
"FY19Q3","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-07-31,221.18,155,24208,49,51,56,0,0,22.75,0.64,96.08,0,0,0,Inf,0,0,143,92.26,0,143,Inf,152,0,0.63,Inf,0,00:00:25
"FY19Q3","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-07-31,391.75,296,35394,70,73,73,28111,591,3,0.84,95.89,79.42,1.67,0,Inf,0,0,280,94.59,0,280,Inf,3260,0,9.21,Inf,0,00:00:05
"FY19Q3","FA19_DC_WA_PIN_DISP_BR","WA_PIN_DISP","PIN_DISP",2018-09-04,2019-12-05,822.64,548,172332,220,234,267,0,0,55.9166666666667,0.32,94.02,0,0,0,Inf,0,0,0,0,0,0,NA,6319,0,3.67,Inf,0,00:00:55
"FY19Q3","FA19_GR_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-12-15,985.46,1299,133209,747,824,842,0,0,111.834951456311,0.98,90.66,0,0,0,Inf,0,0,1217,93.69,0,1217,Inf,1250,0,0.94,Inf,0,00:01:50
"FY19Q3","FA19_GR_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-09-08,739.19,1167,68366,501,583,595,57780,24178,160.928,1.71,85.93,84.52,35.37,0,Inf,0,0,863,73.95,0,863,Inf,41915,0,61.31,Inf,0,00:02:40
"FY19Q3","FA19_GR_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-04-30,543.43,274,52713,100,103,108,0,0,43.5,0.52,97.09,0,0,0,Inf,0,0,265,96.72,0,265,Inf,267,0,0.51,Inf,0,00:00:45
"FY19Q3","FA19_GR_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-04-30,598.42,406,42360,83,86,90,33891,823,17.1111111111111,0.96,96.51,80.01,1.94,0,Inf,0,0,371,91.38,0,371,Inf,4403,0,10.39,Inf,0,00:00:15
"FY19Q3","FA19_IC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-11-01,2019-04-16,759.84,1184,120652,221,247,289,0,0,61.8266666666667,0.98,89.47,0,0,0,Inf,0,0,766,64.7,0,766,Inf,840,0,0.7,Inf,0,00:01:00
"FY19Q3","FA19_IC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-11-01,2019-01-23,292.01,182,33346,54,54,54,0,0,0,0.55,100,0,0,0,Inf,0,0,169,92.86,0,169,Inf,170,0,0.51,Inf,0,00:00:00
"FY19Q3","FA19_UNI_WA_YT_VID_BR","WA_YT_VID","YT_VID",2018-08-09,2019-06-30,0.12,0,8,4,4,4,4,4,0,0,100,50,50,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,0,00:00:00
"FY19Q3","SP19_GR_WA_FB_DISP_AG","WA_FB_DISP","FB_DISP",2018-09-07,2019-03-31,792.84,851,237588,349,390,426,0,0,81.5436893203884,0.36,89.49,0,0,0,Inf,0,0,561,65.92,0,561,Inf,585,0,0.25,Inf,0,00:01:20
"FY19Q3","SP19_ST_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-11-11,2019-07-17,634.58,465,208402,287,305,315,0,0,27.56,0.22,94.1,0,0,0,Inf,0,0,442,95.05,0,442,Inf,447,0,0.21,Inf,0,00:00:30
"FY19Q4","FA19_DC_WA_FB_DISP_IG","WA_FB_DISP","FB_DISP",2018-08-28,2019-08-05,231.37,296,30511,59,63,68,0,0,169.375,0.97,93.65,0,0,0,Inf,0,0,156,52.7,0,156,Inf,216,0,0.71,Inf,0,00:02:50
"FY19Q4","FA19_DC_WA_FB_VID_IG","WA_FB_VID","FB_VID",2018-09-01,2019-07-31,683.74,1014,83086,167,178,185,61215,16567,42.25,1.22,93.82,73.68,19.94,0,Inf,0,0,13616,1342.8,0,13616,Inf,28979,0,34.88,Inf,0,00:00:40
"FY19Q4","FA19_DC_WA_IG_DISP_IG","WA_IG_DISP","IG_DISP",2018-08-28,2019-07-31,147.02,104,16741,50,52,52,0,0,687,0.62,96.15,0,0,0,Inf,0,0,81,77.88,0,81,Inf,97,0,0.58,Inf,0,00:11:25
"FY19Q4","FA19_DC_WA_IG_VID_IG","WA_IG_VID","IG_VID",2018-09-01,2019-07-31,145.28,113,8373,39,40,40,6509,202,4,1.35,97.5,77.74,2.41,0,Inf,0,0,2280,2017.7,0,2280,Inf,1133,0,13.53,Inf,0,00:00:05
