Quarter,AdSet,Ad,Vendor,Impressions,CTR,UPV,BR,Av_TOP,Cost,Start_Date,End_Date
FY19Q3,FA20_UG_HS_FB_CAR,HS_FB_CAR,FB_CAR,67287,0.005,63,0.918, 00:03:00.0,261.65,NA,NA
FY19Q3,FA20_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,264744,0.0047,239,0.9454, 00:01:05.0,1469.9,Aug-19,Mar-20
FY19Q3,FA20_UG_HS_FB_VID,HS_FB_VID,FB_VID,87884,0.0051,82,0.9383, 00:00:15.0,484.97,Nov-19,Apr-20
FY19Q3,FA20_UG_HS_IG_CAR,HS_IG_CAR,IG_CAR,41415,0.0025,38,0.8929, 00:00:30.0,174.22,NA,NA
FY19Q3,FA20_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,87943,0.0022,88,0.9432, 00:01:40.0,352.7,Aug-19,Jun-20
FY19Q3,FA20_UG_HS_IG_VID,HS_IG_VID,IG_VID,75371,0.0024,43,1,NA,360.35,Nov-19,Jan-20
FY19Q3,FA20_UG_HS_PIN_DISP,HS_PIN_DISP,PIN_DISP,144241,0.0028,209,0.9604, 00:01:15.0,636.61,NA,NA
FY19Q4,FA20_UG_HS_FB_CAR,HS_FB_CAR,FB_CAR,88909,0.0046,172,0.925, 00:02:15.0,423.79,NA,NA
FY19Q4,FA20_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,397369,0.0045,452,0.9385, 00:01:20.0,2376.46,Aug-19,Mar-20
FY19Q4,FA20_UG_HS_FB_VID,HS_FB_VID,FB_VID,94609,0.0056,115,0.9286, 00:00:30.0,606.54,Nov-19,Apr-20
FY19Q4,FA20_UG_HS_IG_CAR,HS_IG_CAR,IG_CAR,163575,0.0017,129,0.95, 00:02:45.0,830.49,NA,NA
FY19Q4,FA20_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,184599,0.0017,174,0.9641, 00:03:20.0,886.94,Aug-19,Jun-20
FY19Q4,FA20_UG_HS_IG_VID,HS_IG_VID,IG_VID,226673,0.0017,137,0.9781, 00:02:50.0,1376.4,Nov-19,Jan-20
FY20Q1,FA20_UG_HS_IG_VID,HS_IG_VID,IG_VID,10,0,0,NaN%,NA,0.04,Nov-19,Jan-20
FY20Q3,FA21_UG_HS_DBM_DISP,HS_DBM_DISP,DBM_DISP,742832,0.0014,1808,0.8074, 00:00:30.0,4613.22,Feb-20,Ongoing
FY20Q3,FA21_UG_HS_FB_DISP,HS_FB_DISP,FB_DISP,133156,0.0038,254,0.9639, 00:02:25.0,412.36,NA,NA
FY20Q3,FA21_UG_HS_IG_DISP,HS_IG_DISP,IG_DISP,223095,0.0025,166,0.9759, 00:00:50.0,1003.18,NA,NA
FY20Q3,FA21_UG_HS_IG_VID,HS_IG_VID,IG_VID,159154,0.0012,139,0.9784, 00:00:45.0,1008.95,Feb-20,Ongoing
FY20Q3,FA21_UG_HS_SC_VID,HS_SC_VID,SC_VID,1126431,0.0088,8780,0.9793, 00:10:00.0,2613.2,Feb-20,Jun-20
FY20Q4,FA21_UG_HS_DBM_DISP,HS_DBM_DISP,DBM_DISP,118453,0.0015,1110,0.8751, 00:00:35.0,1117.71,Feb-20,Ongoing
FY20Q4,FA21_UG_HS_IG_VID,HS_IG_VID,IG_VID,120368,0.0011,160,0.9812, 00:00:10.0,590.78,Feb-20,Ongoing
FY20Q4,FA21_UG_HS_SC_VID,HS_SC_VID,SC_VID,884808,0.0109,2856,0.9916, 00:06:30.0,1314.75,Feb-20,Jun-20
