"Quarter","AdSet","Ad","Vendor","Impressions","CTR","UPV","BR","Av_TOP","Cost","Start_Date","End_Date"
"FY19Q3","FA20_UG_HS_FB_CAR","HS_FB_CAR","FB_CAR","67,287","0.5%","63","91.8%", 00:03:00.0,"$ 261.65",NA,NA
"FY19Q3","FA20_UG_HS_FB_DISP","HS_FB_DISP","FB_DISP","264,744","0.47%","239","94.54%", 00:01:05.0,"$ 1469.9","08-2019","03-2020"
"FY19Q3","FA20_UG_HS_FB_VID","HS_FB_VID","FB_VID","87,884","0.51%","82","93.83%", 00:00:15.0,"$ 484.97","11-2019","04-2020"
"FY19Q3","FA20_UG_HS_IG_CAR","HS_IG_CAR","IG_CAR","41,415","0.25%","38","89.29%", 00:00:30.0,"$ 174.22",NA,NA
"FY19Q3","FA20_UG_HS_IG_DISP","HS_IG_DISP","IG_DISP","87,943","0.22%","88","94.32%", 00:01:40.0,"$ 352.7","08-2019","06-2020"
"FY19Q3","FA20_UG_HS_IG_VID","HS_IG_VID","IG_VID","75,371","0.24%","43","100%",NA,"$ 360.35","11-2019","01-2020"
"FY19Q3","FA20_UG_HS_PIN_DISP","HS_PIN_DISP","PIN_DISP","144,241","0.28%","209","96.04%", 00:01:15.0,"$ 636.61",NA,NA
"FY19Q4","FA20_UG_HS_FB_CAR","HS_FB_CAR","FB_CAR","88,909","0.46%","172","92.5%", 00:02:15.0,"$ 423.79",NA,NA
"FY19Q4","FA20_UG_HS_FB_DISP","HS_FB_DISP","FB_DISP","397,369","0.45%","452","93.85%", 00:01:20.0,"$ 2376.46","08-2019","03-2020"
"FY19Q4","FA20_UG_HS_FB_VID","HS_FB_VID","FB_VID","94,609","0.56%","115","92.86%", 00:00:30.0,"$ 606.54","11-2019","04-2020"
"FY19Q4","FA20_UG_HS_IG_CAR","HS_IG_CAR","IG_CAR","163,575","0.17%","129","95%", 00:02:45.0,"$ 830.49",NA,NA
"FY19Q4","FA20_UG_HS_IG_DISP","HS_IG_DISP","IG_DISP","184,599","0.17%","174","96.41%", 00:03:20.0,"$ 886.94","08-2019","06-2020"
"FY19Q4","FA20_UG_HS_IG_VID","HS_IG_VID","IG_VID","226,673","0.17%","137","97.81%", 00:02:50.0,"$ 1376.4","11-2019","01-2020"
"FY20Q1","FA20_UG_HS_IG_VID","HS_IG_VID","IG_VID","10","0%","0","NaN%",NA,"$ 0.04","11-2019","01-2020"
"FY20Q3","FA21_UG_HS_DBM_DISP","HS_DBM_DISP","DBM_DISP","742,832","0.14%","1,808","80.74%", 00:00:30.0,"$ 4613.22","02-2020","Ongoing"
"FY20Q3","FA21_UG_HS_FB_DISP","HS_FB_DISP","FB_DISP","133,156","0.38%","254","96.39%", 00:02:25.0,"$ 412.36",NA,NA
"FY20Q3","FA21_UG_HS_IG_DISP","HS_IG_DISP","IG_DISP","223,095","0.25%","166","97.59%", 00:00:50.0,"$ 1003.18",NA,NA
